pendigits.tra , pendigits.val , [4]  , [2 2] , 0.010 , 1 , 0.005 , 5000 , nNeuron
pendigits.tra , pendigits.val , [5]  , [2 2] , 0.010 , 1 , 0.005 , 5000 , nNeuron
pendigits.tra , pendigits.val , [6]  , [2 2] , 0.010 , 1 , 0.005 , 5000 , nNeuron
pendigits.tra , pendigits.val , [7]  , [2 2] , 0.010 , 1 , 0.005 , 5000 , nNeuron
pendigits.tra , pendigits.val , [8]  , [2 2] , 0.010 , 1 , 0.005 , 5000 , nNeuron
pendigits.tra , pendigits.val , [9]  , [2 2] , 0.010 , 1 , 0.005 , 5000 , nNeuron
pendigits.tra , pendigits.val , [10] , [2 2] , 0.010 , 1 , 0.005 , 5000 , nNeuron
pendigits.tra , pendigits.val , [11] , [2 2] , 0.010 , 1 , 0.005 , 5000 , nNeuron
pendigits.tra , pendigits.val , [12] , [2 2] , 0.010 , 1 , 0.005 , 5000 , nNeuron
pendigits.tra , pendigits.val , [13] , [2 2] , 0.010 , 1 , 0.005 , 5000 , nNeuron
pendigits.tra , pendigits.val , [14] , [2 2] , 0.010 , 1 , 0.005 , 5000 , nNeuron
pendigits.tra , pendigits.val , [15] , [2 2] , 0.010 , 1 , 0.005 , 5000 , nNeuron
pendigits.tra , pendigits.val , [16] , [2 2] , 0.010 , 1 , 0.005 , 5000 , nNeuron
pendigits.tra , pendigits.val , [17] , [2 2] , 0.010 , 1 , 0.005 , 5000 , nNeuron
pendigits.tra , pendigits.val , [18] , [2 2] , 0.010 , 1 , 0.005 , 5000 , nNeuron
pendigits.tra , pendigits.val , [19] , [2 2] , 0.010 , 1 , 0.005 , 5000 , nNeuron
pendigits.tra , pendigits.val , [20] , [2 2] , 0.010 , 1 , 0.005 , 5000 , nNeuron
pendigits.tra , pendigits.val , [21] , [2 2] , 0.010 , 1 , 0.005 , 5000 , nNeuron
pendigits.tra , pendigits.val , [22] , [2 2] , 0.010 , 1 , 0.005 , 5000 , nNeuron
pendigits.tra , pendigits.val , [23] , [2 2] , 0.010 , 1 , 0.005 , 5000 , nNeuron
pendigits.tra , pendigits.val , [24] , [2 2] , 0.010 , 1 , 0.005 , 5000 , nNeuron
pendigits.tra , pendigits.val , [25] , [2 2] , 0.010 , 1 , 0.005 , 5000 , nNeuron
pendigits.tra , pendigits.val , [26] , [2 2] , 0.010 , 1 , 0.005 , 5000 , nNeuron
pendigits.tra , pendigits.val , [27] , [2 2] , 0.010 , 1 , 0.005 , 5000 , nNeuron
pendigits.tra , pendigits.val , [28] , [2 2] , 0.010 , 1 , 0.005 , 5000 , nNeuron
pendigits.tra , pendigits.val , [29] , [2 2] , 0.010 , 1 , 0.005 , 5000 , nNeuron
pendigits.tra , pendigits.val , [30] , [2 2] , 0.010 , 1 , 0.005 , 5000 , nNeuron
pendigits.tra , pendigits.val , [35] , [2 2] , 0.010 , 1 , 0.005 , 5000 , nNeuron
pendigits.tra , pendigits.val , [40] , [2 2] , 0.010 , 1 , 0.005 , 5000 , nNeuron
pendigits.tra , pendigits.val , [45] , [2 2] , 0.010 , 1 , 0.005 , 5000 , nNeuron
pendigits.tra , pendigits.val , [50] , [2 2] , 0.010 , 1 , 0.005 , 5000 , nNeuron
pendigits.tra , pendigits.val , [75] , [2 2] , 0.010 , 1 , 0.005 , 5000 , nNeuron
pendigits.tra , pendigits.val , [100], [2 2] , 0.010 , 1 , 0.005 , 5000 , nNeuron
pendigits.tra , pendigits.val , [125], [2 2] , 0.010 , 1 , 0.005 , 5000 , nNeuron
pendigits.tra , pendigits.val , [150], [2 2] , 0.010 , 1 , 0.005 , 5000 , nNeuron
pendigits.tra , pendigits.val , [175], [2 2] , 0.010 , 1 , 0.005 , 5000 , nNeuron
pendigits.tra , pendigits.val , [200], [2 2] , 0.010 , 1 , 0.005 , 5000 , nNeuron
